domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
awsmx.f2pool.com,0,0.00%,156,156,0.00%
asia2.ethermine.org,0,0.00%,146,146,0.00%
xmr.flooder.org,0,0.00%,148,148,0.00%
eth.f2pool.com,0,0.00%,151,151,0.00%
btc.f2pool.com,0,0.00%,158,158,0.00%
test.nicehash.com,0,0.00%,154,154,0.00%
dcr.f2pool.com,0,0.00%,156,156,0.00%
b4c.f2pool.com,0,0.00%,154,154,0.00%
ss.antpool.com,0,0.00%,137,137,0.00%
cn.sparkpool.com,0,0.00%,156,156,0.00%
ns11.hashvault.pro,0,0.00%,158,158,0.00%
btw.uupool.cn,0,0.00%,156,156,0.00%
raven.f2pool.com,0,0.00%,148,148,0.00%
pool.minergate.com,0,0.00%,154,154,0.00%
www.wodaywo100001.com,0,0.00%,158,158,0.00%
stratum.okpool.me,0,0.00%,154,154,0.00%
fliplc.getxlx.com,0,0.00%,162,162,0.00%
mailer.nicehash.com,0,0.00%,150,150,0.00%
hub5p.sandai.net,0,0.00%,1280,1280,0.00%
lookup.nextcloud.com,0,0.00%,270,270,0.00%
ping.dgraph.io,0,0.00%,199,199,0.00%
tracker.1337x.org,0,0.00%,135,135,0.00%
retracker.lanta-net.ru,0,0.00%,144,144,0.00%
retracker.mgts.by,0,0.00%,156,156,0.00%
filehelper.weixin.qq.com,0,0.00%,344,344,0.00%
yapi.kdsec.org,0,0.00%,1118,1118,0.00%
boot-02.net.anydesk.com,0,0.00%,127,127,0.00%
www.w3.org,0,0.00%,3288,3288,0.00%
dns.rubyfish.cn,0,0.00%,142,142,0.00%
localhost,0,0.00%,472,472,0.00%
server.reverse.ac.cn,0,0.00%,136,136,0.00%
downloads.yoctoproject.org,0,0.00%,388,388,0.00%
api.cloud.tenda.com.cn,0,0.00%,118,118,0.00%
xgpolardb.mysql.polardb.rds.aliyuncs.com,0,0.00%,1746,1746,0.00%
ip.42.pl,0,0.00%,298,298,0.00%
es.proj217.app.kdsec.org,0,0.00%,118,118,0.00%
