nxdomain,num
dns-should-not-resolve.golang,4
103.81.10.10.in-addr.arpa,4
128.81.10.10.in-addr.arpa,4
139.81.10.10.in-addr.arpa,4
120.81.10.10.in-addr.arpa,4
lb._dns-sd._udp.0.10.168.192.in-addr.arpa,4
live-play.acgvideo.com,4
208.81.10.10.in-addr.arpa,4
209.81.10.10.in-addr.arpa,4
wpad.lan,4
172.81.10.10.in-addr.arpa,4
170.81.10.10.in-addr.arpa,4
224.81.10.10.in-addr.arpa,4
233.81.10.10.in-addr.arpa,4
232.81.10.10.in-addr.arpa,4
sdk.api.oaid.wocloud.cn,4
DB_HOST,4
matomo.lenovowap.com,4
240.81.10.10.in-addr.arpa,4
LAPTOP-LCVFQ980.corp.microsoft.com,4
text.forge.com,3
165.0.168.192.in-addr.arpa,3
254.15.168.192.in-addr.arpa,3
b4bf120.cw.glados-config.net,3
8.9.c.0.1.1.e.f.f.f.f.2.2.4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,3
d.9.5.5.1.0.e.f.f.f.2.6.2.4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,3
3.c.d.0.6.a.e.f.f.f.a.1.d.b.0.b.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,3
7.f.8.3.5.9.e.f.f.f.1.6.5.9.4.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,3
e.1.2.3.8.0.e.f.f.f.2.8.8.0.4.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,3
b.5.7.3.a.3.e.f.f.f.6.8.7.1.4.8.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,3
6.b.c.1.b.5.e.f.f.f.c.a.5.9.8.9.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,3
0.2.a.a.f.5.e.f.f.f.b.d.b.0.4.5.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,3
b.0.8.1.9.0.e.f.f.f.a.0.e.a.8.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,3
b._dns-sd._udp.0.31.168.192.in-addr.arpa,3
db._dns-sd._udp.0.31.168.192.in-addr.arpa,3
205.31.168.192.in-addr.arpa,3
lb._dns-sd._udp.0.2.168.192.in-addr.arpa,3
inferno.demonoid.pw,3
6.100.31.172.in-addr.arpa,3
25.100.168.192.in-addr.arpa,3
41.1.5.10.in-addr.arpa,3
1.1.5.10.in-addr.arpa,3
70.254.226.159.in-addr.arpa,3
232.42.91.101.in-addr.arpa,3
1.1.168.192.in-addr.arpa,3
sp2.sangfor.com.cn,3
62.239.111.59.in-addr.arpa,3
lb._dns-sd._udp.0.216.16.172.in-addr.arpa,3
b._dns-sd._udp.0.160.16.172.in-addr.arpa,3
db._dns-sd._udp.0.160.16.172.in-addr.arpa,3
b._dns-sd._udp.0.10.10.10.in-addr.arpa,3
db._dns-sd._udp.0.10.10.10.in-addr.arpa,3
lb._dns-sd._udp.0.10.10.10.in-addr.arpa,3
223.80.10.10.in-addr.arpa,3
ns2.example.com,3
ns1.example.com,3
_ta-4a5c-4f66,3
250.255.255.239.in-addr.arpa,3
uop.umeng.com,3
_dns.resolver.arpa,3
16f05754.verify.hn,3
tracker.ds.is,3
151.122.125.40.in-addr.arpa,3
https://www.meituan.com,3
isatap.localdomain,3
127.8.168.192.in-addr.arpa,3
1.8.168.192.in-addr.arpa,3
slk-W3335HA1,3
nfs-W330-H30,3
nfs-M3230H0A,3
4.1.8.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.a.e.d.b.f.d.5.5.5.2.d.f.ip6.arpa,3
210.6.168.192.in-addr.arpa,3
236.6.168.192.in-addr.arpa,3
121.81.10.10.in-addr.arpa,3
npibb12fe.DHCP HOST,3
