domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
SIN-efz.ms-acdc.office.com,3,0.10%,6,3,50.00%
kv601.prod.do.dsp.mp.microsoft.com,3,0.10%,6,3,50.00%
14.tlu.dl.delivery.mp.microsoft.com,3,0.10%,6,3,50.00%
img-xlppc-zhan.xunlei.com,3,0.10%,10,7,30.00%
docs.google.com,3,0.10%,10,7,30.00%
docs2.gtimg.com,3,0.10%,6,3,50.00%
firebaselogging-pa.googleapis.com,3,0.10%,6,3,50.00%
assets.yiban.io,3,0.10%,6,3,50.00%
hicloud.hiwifi.com,3,0.10%,6,3,50.00%
0.pool.ntp.org,3,0.10%,6,3,50.00%
cdn.cvws.apple-dns.net,3,0.10%,4,1,75.00%
steampipe.akamaized.net,3,0.10%,6,3,50.00%
at.alicdn.com,2,0.07%,4,2,50.00%
pic3.zhimg.com,2,0.07%,4,2,50.00%
pic2.zhimg.com,2,0.07%,4,2,50.00%
googleads.g.doubleclick.net,2,0.07%,6,4,33.33%
hotfix.lenovo.com.cn,2,0.07%,4,2,50.00%
mathpix.com,2,0.07%,4,2,50.00%
api.mathpix.com,2,0.07%,4,2,50.00%
iduy64c.qiniudns.com,2,0.07%,2,0,100.00%
get.sogou.com,2,0.07%,73,71,2.74%
assets.msn.com,2,0.07%,9,7,22.22%
pc.ximalaya.com.dsa.dnsv1.com.cn,2,0.07%,2,0,100.00%
storecatalogrevocation.storequality.microsoft.com,2,0.07%,4,2,50.00%
static.geetest.com,2,0.07%,4,2,50.00%
mesu-china.apple.com.akadns.net,2,0.07%,3,1,66.67%
jtypkz2w.sched.d2.tdnsdp1.cn,2,0.07%,3,1,66.67%
firefox.settings.services.mozilla.com,2,0.07%,4,2,50.00%
www.wenxm.cn,2,0.07%,4,2,50.00%
sjy6.stream.qqmusic.qq.com,2,0.07%,5,3,40.00%
16.au.download.windowsupdate.com,2,0.07%,4,2,50.00%
ss0.baidu.com,2,0.07%,9,7,22.22%
ss3.baidu.com,2,0.07%,9,7,22.22%
ss2.baidu.com,2,0.07%,9,7,22.22%
ms.bdimg.com,2,0.07%,9,7,22.22%
fc1tn.baidu.com,2,0.07%,8,6,25.00%
msedge.b.tlu.dl.delivery.mp.microsoft.com,2,0.07%,5,3,40.00%
datarouter.ol.epicgames.com,2,0.07%,5,3,40.00%
wework.qpic.cn,2,0.07%,6,4,33.33%
gimg3.baidu.com,2,0.07%,6,4,33.33%
normandy-cdn.services.mozilla.com,2,0.07%,4,2,50.00%
0.debian.pool.ntp.org,2,0.07%,3,1,66.67%
ipv6.neubt.com,2,0.07%,2,0,100.00%
scholar.google.com.hk,2,0.07%,4,2,50.00%
1.debian.pool.ntp.org,2,0.07%,3,1,66.67%
