Zone,"Zone UTF8",Delegated,"Registry Name","Registry Alias","Registry Info URL","Registry URL","Backend Name","Backend Alias","Backend Info URL","Backend URL","Whois Hostname","Whois Charset","Whois IPv6","Whois Options","Trademark Open","Trademark Close"
delivery,delivery,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2015-02-02,2015-05-05
science,science,1,"Global Registry Services Limited",Global-Registry-Services-Limited,http://ntldstats.com/registry/Global-Registry-Services-Limited,https://grs.domains/,"GoDaddy Registry",GoDaddy-Registry,http://ntldstats.com/backend/GoDaddy-Registry,https://registry.godaddy/,whois.nic.science,utf8,1,,,
kddi,kddi,1,"KDDI Corp.",KDDI-CORPORATION,http://ntldstats.com/registry/KDDI-CORPORATION,,"GMO Registry, Inc.",GMO-Registry-Inc,http://ntldstats.com/backend/GMO-Registry-Inc,https://www.gmoregistry.com/,whois.nic.kddi,utf8,1,,,
sydney,sydney,1,"State of New South Wales, Department of Premier and Cabinet",State-of-New-South-Wales-Department-of-Premier-and-Cabinet,http://ntldstats.com/registry/State-of-New-South-Wales-Department-of-Premier-and-Cabinet,https://www.iconic.sydney/,"GoDaddy Registry",GoDaddy-Registry,http://ntldstats.com/backend/GoDaddy-Registry,https://registry.godaddy/,whois.nic.sydney,utf8,1,,2015-02-17,2015-05-18
schwarz,schwarz,1,"Schwarz Domains und Services GmbH & Co. KG",Schwarz-Domains-und-Services-GmbH-Co-KG,http://ntldstats.com/registry/Schwarz-Domains-und-Services-GmbH-Co-KG,,CentralNic,CentralNic,http://ntldstats.com/backend/CentralNic,https://www.centralnicgroup.com/,whois.centralnic.com,utf8,0,,,
lidl,lidl,1,"Schwarz Domains und Services GmbH & Co. KG",Schwarz-Domains-und-Services-GmbH-Co-KG,http://ntldstats.com/registry/Schwarz-Domains-und-Services-GmbH-Co-KG,,CentralNic,CentralNic,http://ntldstats.com/backend/CentralNic,https://www.centralnicgroup.com/,whois.centralnic.com,utf8,0,,,
jprs,jprs,1,"Japan Registry Services Co., Ltd.",Japan-Registry-Services-Co-Ltd,http://ntldstats.com/registry/Japan-Registry-Services-Co-Ltd,,"Japan Registry Services Co., Ltd.",Japan-Registry-Services-Co-Ltd,http://ntldstats.com/backend/Japan-Registry-Services-Co-Ltd,https://jprs.co.jp/en/,whois.nic.jprs,utf8,1,,2015-09-23,2016-01-16
virgin,virgin,1,"Virgin Enterprises Limited",Virgin-Enterprises-Limited,http://ntldstats.com/registry/Virgin-Enterprises-Limited,,Nominet,Nominet,http://ntldstats.com/backend/Nominet,https://www.nominet.uk/,whois.nic.virgin,utf8,1,,,
bank,bank,1,"fTLD Registry Services LLC",fTLD-Registry-Services-LLC,http://ntldstats.com/registry/fTLD-Registry-Services-LLC,https://www.register.bank/,"GoDaddy Registry",GoDaddy-Registry,http://ntldstats.com/backend/GoDaddy-Registry,https://registry.godaddy/,whois.nic.bank,utf8,1,,2015-06-24,2020-06-22
corsica,corsica,1,"Collectivité de Corse",Collectivit-de-Corse,http://ntldstats.com/registry/Collectivit-de-Corse,1,AFNIC,AFNIC,http://ntldstats.com/backend/AFNIC,https://www.afnic.fr/,whois.nic.corsica,utf8,1,,2015-11-30,2016-04-18
ltd,ltd,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2016-06-13,2016-09-13
obi,obi,1,"OBI Group Holding SE & Co. KGaA",OBI-Group-Holding-SE-Co-KGaA,http://ntldstats.com/registry/OBI-Group-Holding-SE-Co-KGaA,,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.nic.obi,utf8,1,,,
itau,itau,1,"Itau Unibanco Holding S.A.",Itau-Unibanco-Holding-SA,http://ntldstats.com/registry/Itau-Unibanco-Holding-SA,,"GoDaddy Registry",GoDaddy-Registry,http://ntldstats.com/backend/GoDaddy-Registry,https://registry.godaddy/,whois.nic.itau,utf8,1,,,
maif,maif,1,"Mutuelle Assurance Instituteur France (MAIF)",Mutuelle-Assurance-Instituteur-France-MAIF,http://ntldstats.com/registry/Mutuelle-Assurance-Instituteur-France-MAIF,,"Verisign, Inc.",Verisign-Inc,http://ntldstats.com/backend/Verisign-Inc,https://www.verisign.com/?inc=www.verisigninc.com,whois.nic.maif,utf8,1,,,
bbva,bbva,1,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",BANCO-BILBAO-VIZCAYA-ARGENTARIA-SA,http://ntldstats.com/registry/BANCO-BILBAO-VIZCAYA-ARGENTARIA-SA,,Nominet,Nominet,http://ntldstats.com/backend/Nominet,https://www.nominet.uk/,whois.nic.bbva,utf8,1,,,
afl,afl,1,"Australian Football League",Australian-Football-League,http://ntldstats.com/registry/Australian-Football-League,,"CSC Digital Brand Services",CSC-Digital-Brand-Services,http://ntldstats.com/backend/CSC-Digital-Brand-Services,https://www.cscglobal.com/cscglobal/home/,whois.nic.afl,utf8,1,,,
stc,stc,1,"Saudi Telecom Company",Saudi-Telecom-Company,http://ntldstats.com/registry/Saudi-Telecom-Company,,CentralNic,CentralNic,http://ntldstats.com/backend/CentralNic,https://www.centralnicgroup.com/,whois.centralnic.com,utf8,0,,2016-07-28,2016-10-26
