domain,num_aaaa_fail,rate_all,num_aaaa_all,num_aaaa_success,rate_aaaa_fail
www.yuwabits.net,32,0.06%,32,0,100.00%
mmbiz.qpic.cn,32,0.06%,35,3,91.43%
pc-plugin-plg.wpscdn.cn,32,0.06%,70,38,45.71%
time.windows.com,32,0.06%,32,0,100.00%
tracker1.itzmx.com,32,0.06%,32,0,100.00%
push.thanos.ams.eulix.xyz,32,0.06%,32,0,100.00%
fanyi-bfe.n.shifen.com,32,0.06%,32,0,100.00%
ins-mfa9hirw.ias.tencent-cloud.net,31,0.05%,31,0,100.00%
hotfix.lenovo.com.cn,31,0.05%,31,0,100.00%
googleads.g.doubleclick.net,31,0.05%,32,1,96.88%
ts1.qq.com,31,0.05%,31,0,100.00%
v2.get.sogou.com,31,0.05%,31,0,100.00%
client.dropbox.com,31,0.05%,62,31,50.00%
api.snapcraft.io,30,0.05%,30,0,100.00%
dsp.lenovo.com.cn,30,0.05%,30,0,100.00%
v1.go2yd.com,30,0.05%,30,0,100.00%
mtalk.google.com,30,0.05%,131,101,22.90%
download.windowsupdate.com.a.bdydns.com,30,0.05%,30,0,100.00%
1.courier-push-apple.com.akadns.net,30,0.05%,30,0,100.00%
shortconn.im.qcloud.com,30,0.05%,30,0,100.00%
passport.m3guo.com,30,0.05%,30,0,100.00%
uz95.v.trpcdn.net,29,0.05%,29,0,100.00%
puv.tt.browser.360.cn,29,0.05%,29,0,100.00%
gateway.fe.apple-dns.net,29,0.05%,58,29,50.00%
ping.avast.com,29,0.05%,60,31,48.33%
mail.google.com,29,0.05%,66,37,43.94%
firefox.settings.services.mozilla.com,29,0.05%,29,0,100.00%
mubu.com,29,0.05%,29,0,100.00%
inews.gtimg.com,28,0.05%,28,0,100.00%
router15.teamviewer.com,28,0.05%,28,0,100.00%
zlxx.v.lxcvc.com,28,0.05%,55,27,50.91%
router1.teamviewer.com,28,0.05%,32,4,87.50%
api2.firefoxchina.cn,28,0.05%,28,0,100.00%
update1.sangfor.net.cdn20.com,28,0.05%,28,0,100.00%
jtypkz2w.sched.d2.tdnsdp1.cn,28,0.05%,28,0,100.00%
shdf01-iopq.cgroads.com,28,0.05%,28,0,100.00%
treatment.grammarly.com,28,0.05%,28,0,100.00%
dc.services.visualstudio.com,28,0.05%,28,0,100.00%
rq.wh.cmcm.com,27,0.05%,27,0,100.00%
api.msn.com,27,0.05%,43,16,62.79%
dyn.wps.cn,27,0.05%,27,0,100.00%
api.mathpix.com,27,0.05%,27,0,100.00%
ue.lenovomm.cn,27,0.05%,27,0,100.00%
ocsp2-lb.apple.com.akadns.net,27,0.05%,28,1,96.43%
x1.c.lencr.org,27,0.05%,68,41,39.71%
interface.music.163.com,27,0.05%,27,0,100.00%
res.wx.qq.com,27,0.05%,28,1,96.43%
loki.ams.eulix.xyz,27,0.05%,27,0,100.00%
ns-eh2-prod-dm2-511.cloudapp.net,27,0.05%,27,0,100.00%
assets.msn.com,27,0.05%,27,0,100.00%
lz4hlmtcf5.feishu.cn,27,0.05%,27,0,100.00%
btrace.qq.com,26,0.05%,47,21,55.32%
ww62.uatracker.net,26,0.05%,26,0,100.00%
rs2.qq.com,26,0.05%,26,0,100.00%
ts2.qq.com,26,0.05%,26,0,100.00%
ic.wps.cn,26,0.05%,26,0,100.00%
zephir.monocul.us,26,0.05%,26,0,100.00%
init.push-apple.com.akadns.net,26,0.05%,52,26,50.00%
mumu.nie.netease.com,26,0.05%,51,25,50.98%
tsfe.trafficshaping.dsp.mp.microsoft.com,26,0.05%,26,0,100.00%
rm-2zelg248g7y2034w7do.mysql.rds.aliyuncs.com,26,0.05%,26,0,100.00%
wss.rest.gti.mcafee.com,26,0.05%,26,0,100.00%
ioshost.qtlcdn.com,25,0.04%,48,23,52.08%
e11290.dspg.akamaiedge.net,25,0.04%,51,26,49.02%
