domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
dns2.registrar-servers.com,0,0.00%,2263,2263,0.00%
ns02.domaincontrol.com,0,0.00%,126,126,0.00%
ns1.crazydomains.com,0,0.00%,122,122,0.00%
ns0.centralnic.net,0,0.00%,414,414,0.00%
ns53.domaincontrol.com,0,0.00%,122,122,0.00%
fortaleza.porkbun.com,0,0.00%,110,110,0.00%
ns26.domaincontrol.com,0,0.00%,130,130,0.00%
ns1.dan.com,0,0.00%,382,382,0.00%
ns01.domaincontrol.com,0,0.00%,122,122,0.00%
ns2.dan.com,0,0.00%,384,384,0.00%
ns17.domaincontrol.com,0,0.00%,100,100,0.00%
ns1.bluehost.com,0,0.00%,194,194,0.00%
ns2.bluehost.com,0,0.00%,190,190,0.00%
dns.rubyfish.cn,0,0.00%,104,104,0.00%
whsmarthome.hwcloudtest.cn,0,0.00%,303,303,0.00%
dd.browser.360.cn,0,0.00%,137,137,0.00%
ns25.domaincontrol.com,0,0.00%,126,126,0.00%
git.rancher.io,0,0.00%,1049,1049,0.00%
ns72.domaincontrol.com,0,0.00%,196,196,0.00%
ns24.domaincontrol.com,0,0.00%,164,164,0.00%
ns-cloud-d1.googledomains.com,0,0.00%,376,376,0.00%
ns18.domaincontrol.com,0,0.00%,104,104,0.00%
ns13.domaincontrol.com,0,0.00%,222,222,0.00%
dns1.namecheaphosting.com,0,0.00%,288,288,0.00%
ns71.domaincontrol.com,0,0.00%,190,190,0.00%
ns2.sedoparking.com,0,0.00%,112,112,0.00%
ns76.domaincontrol.com,0,0.00%,226,226,0.00%
ns2.dreamhost.com,0,0.00%,100,100,0.00%
ns1.dreamhost.com,0,0.00%,100,100,0.00%
ns1.dnsowl.com,0,0.00%,146,146,0.00%
ns2.dnsowl.com,0,0.00%,146,146,0.00%
ns1.bodis.com,0,0.00%,414,414,0.00%
ns1.siteground.net,0,0.00%,172,172,0.00%
ns2.siteground.net,0,0.00%,170,170,0.00%
ns10.wixdns.net,0,0.00%,102,102,0.00%
maceio.porkbun.com,0,0.00%,116,116,0.00%
shuc-pc-hunt.ksord.com,0,0.00%,483,483,0.00%
osfsr.lenovomm.com,0,0.00%,436,436,0.00%
doh.pub,0,0.00%,160,160,0.00%
dns.google,0,0.00%,1027,1027,0.00%
jm1.dns.com,0,0.00%,1492,1492,0.00%
jm2.dns.com,0,0.00%,1500,1500,0.00%
ns-cloud-a3.googledomains.com,0,0.00%,372,372,0.00%
ns-cloud-e4.googledomains.com,0,0.00%,330,330,0.00%
ns1.sedoparking.com,0,0.00%,114,114,0.00%
ns-cloud-c2.googledomains.com,0,0.00%,332,332,0.00%
ns-cloud-e1.googledomains.com,0,0.00%,324,324,0.00%
ns11.domaincontrol.com,0,0.00%,198,198,0.00%
ns-cloud-e2.googledomains.com,0,0.00%,340,340,0.00%
ns-cloud-a4.googledomains.com,0,0.00%,376,376,0.00%
ns-cloud-a2.googledomains.com,0,0.00%,376,376,0.00%
ns2.gname.net,0,0.00%,4980,4980,0.00%
ns-cloud-c3.googledomains.com,0,0.00%,334,334,0.00%
dm1.dns.com,0,0.00%,762,762,0.00%
dm2.dns.com,0,0.00%,770,770,0.00%
ns-cloud-c4.googledomains.com,0,0.00%,334,334,0.00%
ns45.domaincontrol.com,0,0.00%,112,112,0.00%
ns46.domaincontrol.com,0,0.00%,112,112,0.00%
ns1.gname.net,0,0.00%,4953,4953,0.00%
es-cn-0pp1l8f1v001204h1.public.elasticsearch.aliyuncs.com,0,0.00%,542,542,0.00%
ns2.parktons.com,0,0.00%,139,139,0.00%
ipv4only.arpa,0,0.00%,448,448,0.00%
example.org,0,0.00%,147,147,0.00%
localhost,0,0.00%,287,287,0.00%
ns.parktons.com,0,0.00%,136,136,0.00%
ns49.domaincontrol.com,0,0.00%,116,116,0.00%
ns50.domaincontrol.com,0,0.00%,116,116,0.00%
ns05.gpdns.net,0,0.00%,130,130,0.00%
ns06.gpdns.net,0,0.00%,126,126,0.00%
ctldl.windowsupdate.com,0,0.00%,877,877,0.00%
query.hicloud.com,0,0.00%,2342,2342,0.00%
ns67.domaincontrol.com,0,0.00%,202,202,0.00%
ns68.domaincontrol.com,0,0.00%,196,196,0.00%
authds.todesk.com,0,0.00%,126,126,0.00%
v1s2.xundns.com,0,0.00%,248,248,0.00%
dlied6.qq.com,0,0.00%,116,116,0.00%
connc.gj.qq.com,0,0.00%,127,127,0.00%
gy2.brnt.fun,0,0.00%,115,115,0.00%
ns2.above.com,0,0.00%,264,264,0.00%
ns-cloud-c1.googledomains.com,0,0.00%,334,334,0.00%
ns1.panamans.com,0,0.00%,306,306,0.00%
ns2.panamans.com,0,0.00%,308,308,0.00%
ns2.zhaimandns.com,0,0.00%,162,162,0.00%
ns1.zhaimandns.com,0,0.00%,162,162,0.00%
v1s1.xundns.com,0,0.00%,248,248,0.00%
ns12.domaincontrol.com,0,0.00%,202,202,0.00%
ns-cloud-e3.googledomains.com,0,0.00%,328,328,0.00%
ns-cloud-a1.googledomains.com,0,0.00%,386,386,0.00%
a.root-servers.net,0,0.00%,1310,1310,0.00%
ns31.domaincontrol.com,0,0.00%,166,166,0.00%
ns32.domaincontrol.com,0,0.00%,168,168,0.00%
ns3.dnsowl.com,0,0.00%,140,140,0.00%
time.apple.com,0,0.00%,190,190,0.00%
mobile.events.data.microsoft.com,0,0.00%,288,288,0.00%
ns77.domaincontrol.com,0,0.00%,128,128,0.00%
ns78.domaincontrol.com,0,0.00%,126,126,0.00%
ns1.inmotionhosting.com,0,0.00%,116,116,0.00%
dns111.ovh.net,0,0.00%,128,128,0.00%
ns111.ovh.net,0,0.00%,118,118,0.00%
ns-cloud-b2.googledomains.com,0,0.00%,348,348,0.00%
apple.com,0,0.00%,191,191,0.00%
mail.cstnet.cn,0,0.00%,225,225,0.00%
www.microsoft.com,0,0.00%,177,177,0.00%
ns42.domaincontrol.com,0,0.00%,242,242,0.00%
ns1.above.com,0,0.00%,268,268,0.00%
ns2.inmotionhosting.com,0,0.00%,118,118,0.00%
ns41.domaincontrol.com,0,0.00%,242,242,0.00%
ns2.bodis.com,0,0.00%,412,412,0.00%
duba-defend.zhhainiao.com,0,0.00%,342,342,0.00%
vipapi.wps.cn,0,0.00%,145,145,0.00%
edragent.sangfor.com.cn,0,0.00%,702,702,0.00%
www.qq.com,0,0.00%,2866,2866,0.00%
note.youdao.com,0,0.00%,760,760,0.00%
wup.browser.qq.com,0,0.00%,115,115,0.00%
s.360.cn,0,0.00%,137,137,0.00%
p3p.sogou.com,0,0.00%,211,211,0.00%
win8.ipv6.microsoft.com,0,0.00%,141,141,0.00%
pub.idqqimg.com,0,0.00%,180,180,0.00%
www.jd.com,0,0.00%,552,552,0.00%
sl-tk.oray.com,0,0.00%,542,542,0.00%
6ahddutb1ucc3cp.ru,0,0.00%,149,149,0.00%
im.eulix.xyz,0,0.00%,122,122,0.00%
qingcenter.wps.cn,0,0.00%,289,289,0.00%
www.csdn.net,0,0.00%,398,398,0.00%
hkb.cloudnnnn.com,0,0.00%,176,176,0.00%
bash.givemexyz.in,0,0.00%,243,243,0.00%
tile-service.weather.microsoft.com,0,0.00%,264,264,0.00%
wp.safe.360.cn,0,0.00%,464,464,0.00%
puv.tt.browser.360.cn,0,0.00%,106,106,0.00%
h5.qzone.qq.com,0,0.00%,514,514,0.00%
api.safe.360.cn,0,0.00%,100,100,0.00%
update.pan.baidu.com,0,0.00%,121,121,0.00%
db.local.clamav.net,0,0.00%,103,103,0.00%
get.sogou.com,0,0.00%,534,534,0.00%
catalog.gamepass.com,0,0.00%,289,289,0.00%
rq.wh.cmcm.com,0,0.00%,448,448,0.00%
s.f.360.cn,0,0.00%,741,741,0.00%
shortconn.im.qcloud.com,0,0.00%,114,114,0.00%
hub5p.sandai.net,0,0.00%,770,770,0.00%
k8s.gcr.io,0,0.00%,277,277,0.00%
time.g.aaplimg.com,0,0.00%,119,119,0.00%
h-adashx.ut.taobao.com,0,0.00%,278,278,0.00%
extshort.weixin.qq.com,0,0.00%,137,137,0.00%
pc-plugin-plg.wpscdn.cn,0,0.00%,198,198,0.00%
www.google.com,0,0.00%,373,373,0.00%
checkappexec.microsoft.com,0,0.00%,170,170,0.00%
nexusrules.officeapps.live.com,0,0.00%,368,368,0.00%
tconf.f.360.cn,0,0.00%,174,174,0.00%
public.dns.iij.jp,0,0.00%,152,152,0.00%
upd.sangfor.com.cn,0,0.00%,244,244,0.00%
xgpolardb.mysql.polardb.rds.aliyuncs.com,0,0.00%,2226,2226,0.00%
assets.contentstack.io,0,0.00%,438,438,0.00%
c.hljzfkyy.com,0,0.00%,463,463,0.00%
cloud.browser.360.cn,0,0.00%,182,182,0.00%
mini.browser.360.cn,0,0.00%,138,138,0.00%
broker.miwifi.com,0,0.00%,174,174,0.00%
packages.deepin.com,0,0.00%,140,140,0.00%
tsfe.trafficshaping.dsp.mp.microsoft.com,0,0.00%,126,126,0.00%
es.proj217.app.kdsec.org,0,0.00%,201,201,0.00%
yapi.kdsec.org,0,0.00%,959,959,0.00%
